StudentId,MId,PassDate
AA1234,CM,2016-12-01
AA2345,CM,2016-12-01
MS1259,CM,2016-12-02
AJ1934,CM,2016-12-02
VW8930,CM,2016-12-02
AJ1836,CM,2016-12-02
IS2945,CM,2016-12-02
BM1745,CM,2016-12-05
AM2950,CM,2016-12-05
VA1938,CM,2016-12-05
AB2903,CM,2016-12-05
MA1968,CM,2016-12-05
JG8927,CM,2016-12-05
AL8345,CM,2016-12-05
AM8051,CM,2016-12-06
JR1930,CM,2016-12-06
JG1036,CM,2016-12-06
DB1783,CM,2016-12-07
DB6291,CM,2016-12-07
KY4892,CM,2016-12-08
MN2903,CM,2016-12-08
ZW1029,CM,2016-12-08
XY2938,CM,2016-12-08
WW3847,CM,2016-12-08
RK1489,CM,2016-12-08
KH1029,CM,2016-12-09
JP9384,CM,2016-12-09
BD5678,CM,2017-12-07
BE1256,CM,2017-12-07
FE6789,CM,2017-12-07
IJ1569,CM,2017-12-07
FK8907,CM,2017-12-07
SJ1947,CM,2017-12-07
AK1958,CM,2017-12-07
EN4589,CM,2018-12-06
KO1905,CM,2018-12-07
NZ1278,CM,2018-12-07
HA2680,CM,2018-12-08
DB1783,DE,2017-06-05
DB6291,DE,2017-06-06
KY4892,DE,2017-06-06
MN2903,DE,2017-06-06
ZW1029,DE,2017-06-07
XY2938,DE,2017-06-07
WW3847,DE,2017-06-07
RK1489,DE,2017-06-07
KH1029,DE,2017-06-07
JP9384,DE,2017-06-07
IJ1569,DE,2017-12-06
FK8907,DE,2017-12-07
MN2903,CE,2017-12-07
ZW1029,CE,2017-12-07
XY2938,CE,2017-12-07
WW3847,CE,2017-12-07
RK1489,CE,2017-12-07
KH1029,CE,2017-12-07
JP9384,CE,2017-12-07
FK8907,CE,2018-05-07
RK1489,PR,2018-12-07
KH1029,PR,2018-12-07
JP9384,PR,2018-12-08
